X,Y,ID,Longitude,Latitude
561338.680819411,842315.067622517,"128",-8.443894973,7.6198819745
560903.549069238,842298.923172197,"129",-8.4478399996,7.6197409909
560885.236780071,842303.653539504,"130",-8.4480059613,7.6197839901
560865.485328735,842219.052146334,"131",-8.4481860045,7.6190189738
560985.153682518,842318.153770818,"132",-8.4470999613,7.6199139934
560866.539512772,842255.100522717,"133",-8.4481760301,7.6193450298
560816.020089378,842169.357149578,"134",-8.4486350231,7.618570039
561768.407289834,842242.991011307,"135",-8.4399999864,7.619225001
561228.086166658,839445.034825227,"136",-8.4449309763,7.593922969
563140.611689848,841895.10381923,"137",-8.4275640082,7.616062006
563133.471769489,841875.856860826,"138",-8.4276289679,7.6158879977
563131.806255287,841883.814677899,"139",-8.4276439715,7.6159599982
563133.565292356,841889.015583885,"140",-8.4276279621,7.6160070207
563136.766346311,841887.472294122,"141",-8.4275989607,7.6159930229
563136.318457334,841890.566757357,"142",-8.427602984,7.6160210185
561391.875513378,841003.959262801,"143",-8.4434280172,7.6080220006
563136.874783801,841882.385068023,"144",-8.4275980387,7.6159470063
563135.128941073,841874.200330507,"145",-8.4276139643,7.6158729941
563142.709582902,841895.773797286,"146",-8.4275449812,7.616068041
561471.598932207,841028.164273823,"147",-8.4427049942,7.6082400139
561523.730618635,842430.063719432,"148",-8.442215994,7.6209199894
561569.696215554,842454.11431968,"149",-8.4417989943,7.6211369969
561823.600323776,842295.354014584,"150",-8.4394990001,7.6196979918
561192.645609778,840152.984340777,"151",-8.4452440403,7.6003269944
561517.759042201,840730.163761593,"152",-8.4422900062,7.6055439748
561507.095174668,840790.188280159,"153",-8.442385979,7.6060870383
561713.933651903,842570.272444972,"154",-8.4404899925,7.6221859921
561676.424321191,842741.804293754,"155",-8.4408280347,7.6237379853
561587.708462679,842853.129657241,"156",-8.441631021,7.6247459929
561771.305222367,840089.715275136,"157",-8.4399989806,7.5997479726
561814.20301527,840185.513203343,"158",-8.4396089707,7.6006139908
561662.787808855,840323.732665273,"159",-8.4409799986,7.6018659957
560826.012748581,841344.402704791,"160",-8.4485539701,7.6111079659
562013.380308079,841658.919923668,"161",-8.4377859905,7.6139390375
560811.032370766,841498.496195838,"162",-8.4486879967,7.6125019602
560826.884220953,841523.841995081,"163",-8.4485439956,7.6127310377
560826.663311609,841523.06332,"164",-8.4485460073,7.6127239969
560825.787084797,841521.403484528,"165",-8.4485539701,7.6127089933
560802.639166985,841504.240056445,"166",-8.4487640206,7.6125540119
562591.771597712,842456.659837327,"167",-8.432532968,7.6211479772
561438.6189899,842312.990904834,"168",-8.4429889731,7.6198620256
561627.351243695,842561.542432623,"169",-8.4412750416,7.6221080404
561968.044471932,843013.045725101,"170",-8.4381810296,7.6261880156
562035.388564501,843055.47254295,"171",-8.4375699889,7.6265709847
560654.501001278,840458.864447431,"172",-8.450119039,7.6030999795
560894.127271895,840517.32640999,"173",-8.4479460306,7.6036260277
563064.356795725,843505.681031291,"174",-8.4282359853,7.630631011
562964.749302419,843427.162761241,"175",-8.4291399736,7.6299219858
562863.609631009,843339.468751453,"176",-8.4300579596,7.6291299798
563550.899166709,844491.927608305,"177",-8.4238130227,7.6395460032
564991.764053582,845849.838603331,"178",-8.410732979,7.6518109906
565321.165949802,845645.210214408,"179",-8.4077490214,7.6499559917
562844.128286642,842801.043048181,"180",-8.4302410204,7.6242600102
564049.172324199,844702.096702687,"181",-8.4192929976,7.6414409839
563994.386380212,844516.069141647,"182",-8.4197919723,7.6397589874
564840.675649898,843571.859694171,"183",-8.4121309966,7.6312080212
564831.745224472,843571.402728813,"184",-8.4122119658,7.6312039979
565753.780247478,846422.901730614,"185",-8.4038169868,7.6569849718
565960.77362786,846441.991281199,"186",-8.4019400273,7.6571550407
565899.060699353,846404.644155915,"187",-8.4025000222,7.6568180043
564139.894199002,843921.47637396,"188",-8.4184800368,7.634378979
564140.007526001,843919.706590588,"189",-8.418479031,7.6343629695
564634.526012739,844378.519274068,"190",-8.4139900189,7.6385069825
563947.388400914,844437.072613792,"191",-8.4202190302,7.6390450168
565598.414773995,844955.392308887,"192",-8.4052440058,7.6437129825
565545.856942899,844914.639094637,"193",-8.40572102,7.643345017
565280.354217188,845648.360329402,"194",-8.4081189986,7.649984993
565012.443111871,845567.734076177,"195",-8.4105489962,7.6492590364
564943.389584645,845731.807763504,"196",-8.4111730289,7.6507439744
565727.552909548,845207.754031402,"197",-8.4040700365,7.6459940337
562582.540114018,841001.520829424,"198",-8.4326339699,7.6079859585
562834.037600656,841169.345263971,"199",-8.4303519968,7.6095009875
563579.975041065,841715.70193006,"200",-8.4235830233,7.6144339889
562335.102819271,840675.61488101,"201",-8.4348809905,7.6050409768
562377.754154587,840703.97078642,"202",-8.4344939981,7.6052969601
562455.015982123,840835.972659335,"203",-8.4337920137,7.6064900402
562130.869477329,840547.98854239,"204",-8.4367339779,7.603888968
562255.996139993,840603.649171931,"205",-8.4355989844,7.6043909602
562309.197801222,840659.883437896,"206",-8.4351160191,7.6048989873
563745.126734296,841615.53699296,"207",-8.4220870212,7.6135259774
563063.358406486,841011.003247288,"208",-8.4282749612,7.6080660056
563891.821454243,842035.289290979,"209",-8.4207520355,7.6173209678
563888.395578214,842045.904260079,"210",-8.4207829647,7.6174170244
562093.573932264,840553.138604906,"211",-8.43707202,7.6039359905
563905.452858893,842074.227428188,"212",-8.4206279833,7.6176730078
563890.548201658,842081.611489858,"213",-8.4207630157,7.6177399792
561611.25850511,839650.717031851,"214",-8.441455001,7.5957789738
561634.687804484,839701.166743751,"215",-8.4412420169,7.5962350331
561692.666964841,840247.933431287,"216",-8.4407100175,7.6011800207
561691.451745417,840251.026909268,"217",-8.4407209978,7.6012080163
560968.825801434,841197.329639535,"218",-8.4472609777,7.6097759977
563081.032788959,841908.841496918,"219",-8.4281039704,7.6161869802
562282.828164748,842776.981714851,"220",-8.4353300091,7.6240490377
562193.730907688,842754.42156476,"221",-8.436138025,7.623846028
562215.779194144,842763.290665269,"222",-8.435938032,7.623925991
560640.948729696,839320.133186427,"223",-8.450254994,7.592799962
561442.707904164,839473.508308859,"224",-8.4429850336,7.5941780303
561936.741232995,841382.212263582,"225",-8.4384840354,7.6114370394
561995.815123441,841422.858181139,"226",-8.4379480127,7.6118039992
562096.508345235,841524.143379668,"227",-8.4370339662,7.6127189677
562080.78634126,841484.767651557,"228",-8.4371769615,7.6123629883
562110.586992938,841554.565444772,"229",-8.4369059745,7.612993978
561711.681116611,840645.291047379,"230",-8.4405329917,7.6047740132
563672.335003176,844001.55135882,"231",-8.422718011,7.635108959
565264.846285574,845698.425359304,"232",-8.408258976,7.650438035
565170.533239176,845621.234184559,"233",-8.40911502,7.649740996
565255.848951902,845659.492977268,"234",-8.408341035,7.650085995
565158.529302267,845610.607350638,"235",-8.409223985,7.649645023
563230.032535122,843750.224857621,"236",-8.426731015,7.632840984
563736.667823096,843736.305923023,"237",-8.422137983,7.632708969
562707.236302381,842220.225657196,"238",-8.431489002,7.6190079935
562168.319818159,843041.16220497,"239",-8.4363650065,7.6264399756
562107.135540234,843103.326183283,"240",-8.4369189665,7.627002988
562076.680882419,843025.456213581,"241",-8.4371959884,7.626298992
562073.0489907,843017.15785569,"242",-8.4372290131,7.6262239739
562097.473179273,842983.477775843,"243",-8.4370079823,7.6259190403
562081.947998171,842963.775256363,"244",-8.4371489659,7.6257410087
562131.182726991,843018.456862598,"245",-8.436701959,7.626235038
562138.896467469,843023.220703393,"246",-8.4366319701,7.6262780372
562157.068540962,843040.82318164,"247",-8.4364670143,7.6264370419
562154.97157087,843039.486056863,"248",-8.4364860412,7.626424972
562161.81940174,843034.741220146,"249",-8.4364240151,7.6263819728
562175.271368889,843041.949676851,"250",-8.4363019746,7.6264470164
561537.121067154,842563.853657856,"251",-8.4420930315,7.622130001
561911.02032637,843011.646418051,"252",-8.4386980254,7.6261760294
562116.0201484,843053.918936853,"253",-8.4368390031,7.6265559811
562068.822180597,843046.786968947,"254",-8.4372669831,7.6264920272
562143.06921833,843035.050346242,"255",-8.4365940001,7.6263849903
562150.33180972,843045.456956709,"256",-8.4365280345,7.6264790352
562145.16316547,843038.704123949,"257",-8.4365749732,7.626418015
562127.489836214,843056.917746149,"258",-8.4367349837,7.6265829708
562139.395352659,843058.925603708,"259",-8.4366270248,7.6266009919
562160.162872349,843035.962249028,"260",-8.4364390187,7.6263930369
562184.211998313,843034.659261397,"261",-8.4362210054,7.626380967
562199.665912435,843108.867934151,"262",-8.4360800218,7.6270520221
561975.948772048,842622.681617221,"263",-8.4381139744,7.6226569712
563183.09958377,841131.219909011,"264",-8.427187996,7.609151965
563177.794994151,841136.300266264,"265",-8.4272360243,7.6091979817
563468.586000106,841455.967606462,"266",-8.4245959762,7.6120859664
562538.397852078,842357.316515889,"267",-8.4330180287,7.6202500239
562959.69943197,842239.573566075,"268",-8.429199988,7.6191799901
563444.171178151,842065.095277345,"269",-8.4248099662,7.6175959781
562725.114959486,842467.890251977,"270",-8.4313239623,7.6212479733
562738.780260229,842474.654334097,"271",-8.4311999939,7.6213089935
562735.128190373,842481.72922811,"272",-8.4312330186,7.6213730313
562951.098349405,842234.586032767,"273",-8.4292780235,7.6191349793
561993.793431628,842892.020257223,"274",-8.4379490186,7.6250930037
561992.69854799,842887.932256969,"275",-8.437958993,7.6250560395
561997.996487773,842887.716761047,"276",-8.4379109647,7.6250540279
562008.586864413,842884.41310406,"277",-8.4378149919,7.6250240207
562022.270266215,842877.240029765,"278",-8.4376910236,7.6249589771
562027.118802741,842881.342183859,"279",-8.4376470186,7.6249960251
562024.357170284,842886.314753984,"280",-8.4376719967,7.6250410359
562028.000607667,842885.76350715,"281",-8.437638972,7.6250360068
562028.112140446,842885.318856679,"282",-8.4376379661,7.6250319835
562052.667337536,842488.462006621,"283",-8.4374200366,7.6214420144
562073.275122861,842503.083747797,"284",-8.4372330364,7.6215740293
562061.902731605,842517.552647846,"285",-8.4373359662,7.6217050385
561701.957324616,842615.700351145,"286",-8.4405980352,7.6225970406
561925.22647246,842609.466346202,"287",-8.4385739733,7.622538032
561918.503076637,842603.814243305,"288",-8.4386349935,7.6224869862
561981.932088569,842429.665984824,"289",-8.4380620066,7.6209110208
561841.705592313,842371.882583964,"290",-8.4393339604,7.6203900017
561675.136468316,842458.235316912,"291",-8.4408430383,7.6211730391
564441.306977648,842892.507597152,"292",-8.4157600254,7.6250680257
564223.103426845,842913.211057228,"293",-8.4177379869,7.6252579596
564405.070727034,842853.761072977,"294",-8.4160890151,7.6247179974
564608.055775493,843324.225705346,"295",-8.4142429847,7.6289709751
562895.041673548,842255.964256812,"296",-8.4297859669,7.6193290204
562894.154685928,842255.518290129,"297",-8.4297940135,7.6193249971
562913.923425689,842240.291517179,"298",-8.429614976,7.6191870309
562838.778010763,842427.359547515,"299",-8.430293994,7.6208800077
562834.24906099,842433.321282792,"300",-8.4303349815,7.6209339872
562685.951799702,842467.069583309,"301",-8.4316790197,7.6212410163
563046.396389594,843489.181166564,"302",-8.4283990134,7.6304819807
563180.0570244,843593.506054763,"303",-8.4271859843,7.6314240228
563089.762984062,843561.546124589,"304",-8.4280049801,7.6311360206
562943.923984603,844241.263896519,"305",-8.429319011,7.6372859906
563092.42357388,843549.169441196,"306",-8.4279810078,7.6310240384
563464.127197043,842152.459800686,"307",-8.4246279951,7.6183859725
560974.026192359,841353.218768526,"308",-8.447212027,7.611186001
561952.951868804,840624.929657215,"309",-8.4383459855,7.6045870129
561008.690573778,841937.104590517,"310",-8.4468910005,7.6164670195
560598.587475048,840971.550437819,"311",-8.450620025,7.607738022
560593.739693179,840966.56809909,"312",-8.4506640304,7.6076930109
560685.212203447,839296.642863334,"313",-8.449854003,7.592586977
560683.890571133,839296.205712187,"314",-8.449865989,7.592583038
560757.548273359,839315.749745867,"315",-8.449198036,7.592758974
560838.316806836,839385.833572564,"316",-8.448465038,7.593391975
560748.865977091,839810.805633074,"317",-8.4492710419,7.5972370058
561006.558615955,839285.116330253,"318",-8.4469410405,7.5924790185
562684.263294084,840141.870448223,"319",-8.431722019,7.600208977
562483.676182306,840512.522220334,"320",-8.43353603,7.603564002
562254.383613271,840315.659586103,"321",-8.4356170055,7.6017860323
565128.37866794,844108.551197143,"322",-8.40951601,7.636058964
563760.076768323,843715.774556657,"323",-8.421926005,7.632522974
566048.648053465,846307.67253394,"324",-8.401145004,7.655938994
566054.696379093,846319.403323734,"325",-8.4010900185,7.6560450252
566169.361992734,846351.514677063,"326",-8.4000499919,7.6563340332
566050.07287856,846313.531080288,"327",-8.4011320118,7.6559919678
566239.848241808,846421.919410742,"328",-8.3994100336,7.6569699682
565870.572993939,846267.958126538,"329",-8.4027600288,7.6555820089
565605.234318311,846409.324200427,"330",-8.4051639587,7.656864021
565565.493847991,846433.807399638,"331",-8.4055239614,7.6570859738
565245.649440946,845701.49402859,"332",-8.4084329847,7.6504660305
564972.810365604,845837.432346003,"333",-8.410904976,7.651699008
