X,Y,ID,Longitude,Latitude
564426.203391183,842807.799350157,"112",-8.415897992,7.624302004
564675.875674419,843252.788536687,"113",-8.41362901,7.628323976
563183.361382341,843681.182020554,"114",-8.4271549713,7.6322170347
562285.068688294,840636.527918425,"115",-8.4353350382,7.6046880148
562696.179844206,841150.148866442,"116",-8.43160199,7.6093289908
561005.665315242,838774.684208617,"117",-8.4469550382,7.5878620148
561198.662197417,839078.624270027,"118",-8.4452019632,7.5906090159
563285.729882145,844171.513602308,"119",-8.4262209758,7.6366509777
565059.694188523,845453.15163565,"120",-8.410122022,7.6482220273
564909.089231328,843953.034885015,"121",-8.4115060419,7.6346549951
565502.071312356,844593.192095576,"122",-8.40612201,7.640438005
561769.469137281,840058.095275165,"123",-8.440015996,7.599461982
561872.115369005,840267.625371385,"124",-8.439083006,7.601356041
561506.493754314,839540.689680734,"125",-8.442406012,7.594784964
561105.563010009,840799.180270102,"126",-8.446025988,7.606173037
561884.804816784,842559.772677725,"127",-8.438941017,7.622089014
562159.891263133,842741.107591271,"128",-8.43644497,7.623725999
564943.134158557,843740.374533456,"129",-8.411200019,7.632731013
564536.634309305,844094.817458627,"130",-8.414881015,7.635942036
561004.733610463,842355.986531033,"131",-8.4469220135,7.6202559751
561104.041521204,842419.904987562,"132",-8.4460209589,7.6208329853
561197.935262935,842480.721670627,"133",-8.4451690223,7.6213819999
561250.730420836,842514.288252273,"134",-8.4446899965,7.6216850057
561833.750264041,841269.860160709,"135",-8.4394190367,7.610421991
561835.837164823,841279.036794229,"136",-8.4394000098,7.6105049718
562267.421723083,843338.13838502,"137",-8.4354630299,7.6291250344
560795.277096746,842347.323330339,"138",-8.4488210175,7.620180035
560776.815648085,838741.99710791,"139",-8.4490299784,7.5875689834
560707.865664301,838742.465607041,"140",-8.4496550169,7.5875740126
560826.497568091,838704.252596203,"141",-8.4485800378,7.5872270018
560918.903285776,838996.017100742,"142",-8.4477389976,7.5898650382
560914.028738313,841434.178490578,"143",-8.4477550071,7.6119189989
560941.385019774,841435.649741942,"144",-8.4475069866,7.6119319908
560846.093289978,841425.140276285,"145",-8.4483709931,7.6118380297
560837.34763638,841359.234434142,"146",-8.4484510403,7.6112419926
563493.90199124,844063.121272833,"147",-8.4243349638,7.6356680319
563321.077328871,844211.02724092,"148",-8.4259000327,7.6370079629
564175.510608015,844501.171635258,"149",-8.4181500413,7.6396220271
564847.475525252,844328.065059227,"150",-8.4120600019,7.6380479895
564541.072858474,844155.510807179,"151",-8.4148400277,7.6364909671
564842.710369091,845069.446762658,"152",-8.4120940324,7.6447540149
564928.717778378,844609.2058683,"153",-8.4113199636,7.6405899692
561796.566923776,841281.645439898,"154",-8.4397559892,7.6105290279
561957.609816079,841623.578757737,"155",-8.438292006,7.6136200223
560856.166344146,842175.153672588,"156",-8.448270997,7.6186220068
562557.309701587,839962.608412817,"157",-8.4328750335,7.5985890068
562064.650174947,839636.708540459,"158",-8.4373450186,7.5956469588
561111.759031065,839576.452972571,"159",-8.4459839948,7.5951130316
561944.959827485,843125.781047542,"160",-8.4383889847,7.6272080094
561436.876248956,839982.273568429,"161",-8.4430319723,7.5987800304
561209.843484967,839647.328802555,"162",-8.4450940043,7.5957529899
560926.575797697,838859.483839169,"163",-8.4476710204,7.5886299647
561040.796616114,838734.706646719,"164",-8.4466370288,7.5875000004
562117.67656682,842712.529918008,"165",-8.4368280228,7.6234680042
562202.862648902,840573.074275803,"166",-8.4360810276,7.6041150279
563846.519791833,844233.070925627,"167",-8.4211360104,7.6372009981
564600.114012128,845025.553673078,"168",-8.4142940305,7.6443599816
563884.85604173,844352.856703523,"169",-8.420786988,7.6382840239
